Departamento,Sistema_Productivo,Año,Área_cosechada_(ha),Producción_(t)
Amazonas,aji,2018.0,2.0,6.0
Amazonas,araza,2018.0,15.5,159.0
Amazonas,asai,2018.0,44.0,176.5
Amazonas,cacao,2018.0,29.0,15.0
Amazonas,caimo,2018.0,53.0,53.0
Amazonas,caña panelera,2018.0,4.0,16.0
Amazonas,chontaduro,2018.0,60.0,181.0
Amazonas,cilantro,2018.0,2.0,12.0
Amazonas,copoazu,2018.0,34.0,148.0
Amazonas,frijol,2018.0,5.0,4.0
Amazonas,frutales varios,2018.0,327.0,1678.0
Amazonas,maiz tradicional,2018.0,10.0,10.0
Amazonas,pepino cohombro,2018.0,1.0,2.0
Amazonas,platano,2018.0,268.5,1342.5
Amazonas,sacha inchi,2018.0,64.0,95.0
Amazonas,uva caimarona,2018.0,15.0,8.0
Amazonas,yuca,2018.0,1150.0,7750.0
Antioquia,acelga,2018.0,10.0,277.0
Antioquia,agraz,2018.0,3.0,7.5
Antioquia,aguacate,2018.0,122.97260273972603,1880.7260273972602
Antioquia,ahuyama,2018.0,50.0,600.0
Antioquia,aji,2018.0,11.6,195.0
Antioquia,ajo,2018.0,4.0,16.0
Antioquia,apio,2018.0,44.0,950.5
Antioquia,arracacha,2018.0,4.333333333333333,60.666666666666664
Antioquia,arroz secano manual,2018.0,679.55,1173.35
Antioquia,arroz secano mecanizado,2018.0,431.1,1929.0
Antioquia,arveja,2018.0,76.375,121.125
Antioquia,banano,2018.0,117.17647058823529,2896.529411764706
Antioquia,banano exportacion,2018.0,8677.5,299192.75
Antioquia,banano manzano,2018.0,104.25,1744.25
Antioquia,berenjena,2018.0,8.0,96.0
Antioquia,borojo,2018.0,72.0,194.0
Antioquia,brevo,2018.0,7.0,44.333333333333336
Antioquia,brocoli,2018.0,49.0,973.0
Antioquia,cacao,2018.0,265.9384615384615,165.95384615384614
Antioquia,cafe,2018.0,1042.9574468085107,1509.5425531914893
Antioquia,calabacin,2018.0,9.0,548.0
Antioquia,cardamomo,2018.0,23.333333333333332,30.0
Antioquia,caucho,2018.0,104.05882352941177,104.41176470588235
Antioquia,caña panelera,2018.0,487.03846153846155,2319.2948717948716
Antioquia,cebolla de bulbo,2018.0,10.0,140.0
Antioquia,cebolla de rama,2018.0,21.823529411764707,693.9411764705883
Antioquia,cebollin,2018.0,34.0,1700.0
Antioquia,cilantro,2018.0,9.727272727272727,69.81818181818181
Antioquia,citricos,2018.0,316.3333333333333,2406.3333333333335
Antioquia,coco,2018.0,101.75,391.5
Antioquia,col,2018.0,19.0,114.0
Antioquia,coliflor,2018.0,15.0,337.3333333333333
Antioquia,curcuma,2018.0,4.0,12.0
Antioquia,espinaca,2018.0,15.0,222.0
Antioquia,fique,2018.0,47.625,70.3125
Antioquia,fresa,2018.0,32.166666666666664,1353.4166666666667
Antioquia,frijol arbustivo,2018.0,44.285714285714285,37.673469387755105
Antioquia,frijol voluble,2018.0,86.21666666666667,135.55
Antioquia,frutales varios,2018.0,32.0,245.0
Antioquia,granadilla,2018.0,18.666666666666668,357.3333333333333
Antioquia,guanabana,2018.0,33.0,296.84615384615387
Antioquia,guayaba,2018.0,45.0,353.3333333333333
Antioquia,guayaba manzana,2018.0,3.0,18.5
Antioquia,guayaba pera,2018.0,15.0,75.0
Antioquia,gulupa,2018.0,48.36363636363637,1196.4545454545455
Antioquia,habichuela,2018.0,19.5,116.0
Antioquia,heliconia,2018.0,9.0,38.5
Antioquia,higo,2018.0,94.0,2350.0
Antioquia,hortalizas varias,2018.0,190.66666666666666,4014.3333333333335
Antioquia,hortensia,2018.0,170.4,1254.6
Antioquia,lechuga,2018.0,45.42857142857143,1326.142857142857
Antioquia,lima tahiti,2018.0,34.56,562.36
Antioquia,limon mandarino,2018.0,31.833333333333332,381.6666666666667
Antioquia,limon pajarito,2018.0,22.714285714285715,85.28571428571429
Antioquia,lulo,2018.0,25.125,418.875
