Departamento,Estado_Físico_de_Producción,Año,Área_cosechada_(ha),Producción_(t)
Amazonas,fruto fresco,2018.0,91.84615384615384,429.2307692307692
Amazonas,grano seco,2018.0,14.666666666666666,9.666666666666666
Amazonas,hortaliza fresca,2018.0,1.6666666666666667,6.666666666666667
Amazonas,panela,2018.0,4.0,16.0
Amazonas,semilla oleaginosa,2018.0,64.0,95.0
Amazonas,tuberculo fresco,2018.0,1150.0,7750.0
Antioquia,aceite crudo,2018.0,434.2,1525.6
Antioquia,cafe verde equivalente,2018.0,1042.9574468085107,1509.5425531914893
Antioquia,fibra seca,2018.0,47.625,70.3125
Antioquia,flor fresca,2018.0,121.625,812.125
Antioquia,forraje fresco,2018.0,86.5,2487.0
Antioquia,fruto fresco,2018.0,231.39468690702088,4390.812144212524
Antioquia,grano seco,2018.0,145.5108695652174,162.2391304347826
Antioquia,hoja fresca,2018.0,17.75,121.0
Antioquia,hortaliza fresca,2018.0,31.857142857142858,1507.7755102040817
Antioquia,latex seco,2018.0,104.05882352941177,104.41176470588235
Antioquia,leguminosa fresca,2018.0,19.5,116.0
Antioquia,paddy verde,2018.0,596.7333333333333,1425.2333333333333
Antioquia,panela,2018.0,487.03846153846155,2319.2948717948716
Antioquia,semilla oleaginosa,2018.0,16.857142857142858,41.142857142857146
Antioquia,tuberculo fresco,2018.0,127.3360655737705,2168.3032786885246
Arauca,fruto fresco,2018.0,913.2647058823529,22266.382352941175
Arauca,grano seco,2018.0,2102.6363636363635,1718.7272727272727
Arauca,hoja fresca,2018.0,9.0,108.0
Arauca,melaza,2018.0,174.6,238.2
Arauca,paddy verde,2018.0,1456.0,6876.75
Arauca,panela,2018.0,14.5,114.0
Arauca,tuberculo fresco,2018.0,1010.0,20054.285714285714
Atlantico,aceite crudo,2018.0,156.0,548.0
Atlantico,fibra seca,2018.0,90.0,1260.0
Atlantico,fruto fresco,2018.0,54.182539682539684,940.2777777777778
Atlantico,grano seco,2018.0,159.94915254237287,246.88135593220338
Atlantico,hortaliza fresca,2018.0,14.96875,146.125
Atlantico,leguminosa fresca,2018.0,55.0,262.5
Atlantico,paddy verde,2018.0,237.5,1139.0
Atlantico,tuberculo fresco,2018.0,237.84375,2778.59375
Bolivar,aceite crudo,2018.0,2891.1428571428573,9801.857142857143
Bolivar,cafe verde equivalente,2018.0,591.0,367.5
Bolivar,fruto fresco,2018.0,139.42857142857142,1397.5892857142858
Bolivar,grano seco,2018.0,734.0493827160494,1091.4444444444443
Bolivar,hoja seca,2018.0,129.8,213.0
Bolivar,hortaliza fresca,2018.0,103.21052631578948,1047.6842105263158
Bolivar,latex seco,2018.0,76.0,39.666666666666664
Bolivar,paddy verde,2018.0,702.551724137931,2282.9310344827586
Bolivar,panela,2018.0,130.625,875.125
Bolivar,semilla oleaginosa,2018.0,60.0,120.0
Bolivar,tuberculo fresco,2018.0,931.65625,9799.578125
Boyaca,cafe verde equivalente,2018.0,260.8918918918919,210.2972972972973
Boyaca,fibra seca,2018.0,11.666666666666666,7.666666666666667
Boyaca,flor fresca,2018.0,14.5,141.0
Boyaca,fruto fresco,2018.0,42.74291938997821,470.82135076252723
Boyaca,grano seco,2018.0,58.871391076115486,62.76640419947507
Boyaca,hoja fresca,2018.0,7.8,63.9
Boyaca,hoja seca,2018.0,39.714285714285715,50.857142857142854
Boyaca,hortaliza fresca,2018.0,50.26315789473684,1447.8842105263159
Boyaca,leguminosa fresca,2018.0,9.545454545454545,68.0
Boyaca,melaza,2018.0,84.2439024390244,461.4878048780488
Boyaca,panela,2018.0,905.7619047619048,8268.52380952381
Boyaca,semilla oleaginosa,2018.0,12.5,66.5
Boyaca,tuberculo fresco,2018.0,169.11052631578949,3120.1631578947367
Caldas,cafe verde equivalente,2018.0,2030.48,2746.8
Caldas,caña para molienda,2018.0,475.4,73380.2
Caldas,fibra seca,2018.0,7.5,10.5
Caldas,fruto fresco,2018.0,283.7536231884058,3652.514492753623
